iter	Passed	Remaining
463	756	874
464	757	871
465	758	869
466	759	867
467	760	864
468	761	862
469	762	860
470	763	857
471	764	855
472	765	853
473	767	851
474	768	849
475	769	847
476	770	844
477	771	842
478	772	840
479	773	838
480	774	835
481	775	833
482	776	831
483	777	829
484	778	827
485	779	824
486	780	822
487	782	820
488	783	818
489	784	816
490	785	814
491	786	812
492	787	810
493	788	807
494	789	805
495	790	803
496	791	801
497	792	799
498	793	796
499	794	794
500	795	792
501	796	790
502	798	788
503	799	786
504	800	784
505	801	782
506	802	780
507	803	778
508	804	776
509	805	774
510	806	772
511	807	769
512	809	768
513	810	765
514	811	764
515	812	762
516	813	760
517	814	758
518	815	756
519	816	753
520	817	751
521	818	749
522	820	747
523	821	745
524	822	743
525	823	741
526	824	739
527	825	737
528	826	735
529	827	733
530	828	731
531	829	729
532	830	727
533	831	725
534	832	723
535	833	721
536	834	719
537	835	717
538	836	715
539	837	713
540	838	711
541	839	709
542	840	707
543	842	705
544	843	704
545	844	702
546	845	700
547	846	698
548	847	696
549	849	694
550	850	692
551	851	691
552	852	689
553	853	687
554	855	685
555	856	683
556	857	681
557	858	679
558	859	677
559	860	675
560	861	673
561	862	672
562	863	670
563	864	668
564	865	666
565	866	664
566	867	662
567	868	660
568	869	658
569	870	657
570	871	655
571	872	653
572	874	651
573	875	649
574	876	647
575	877	645
576	878	643
577	879	641
578	880	639
579	881	638
580	882	636
581	883	634
582	884	632
583	885	630
584	886	629
585	887	627
586	888	625
587	890	623
588	891	621
589	892	619
590	893	618
591	894	616
592	895	614
593	896	612
594	897	610
595	898	608
596	899	607
597	900	605
598	901	603
599	902	601
600	903	599
601	904	598
602	905	596
603	906	594
604	907	592
605	908	590
606	909	588
607	910	587
608	911	585
609	912	583
610	913	581
611	915	580
612	916	578
613	917	576
614	918	575
615	919	573
616	920	571
617	921	569
618	922	568
619	924	566
620	925	564
621	925	562
622	927	560
623	928	559
624	929	557
625	930	555
626	931	554
627	932	552
628	933	550
629	934	548
630	935	546
631	936	545
632	937	543
633	938	541
634	939	539
635	940	538
636	941	536
637	942	534
638	943	533
639	944	531
640	945	529
641	946	527
642	947	526
643	948	524
644	949	522
645	951	521
646	952	519
647	953	517
648	954	516
649	955	514
650	956	512
651	957	510
652	958	509
653	959	507
654	960	505
655	961	504
656	962	502
657	963	500
658	964	499
659	965	497
660	966	495
661	967	493
662	968	492
663	969	490
664	970	488
665	971	487
666	972	485
667	973	483
668	974	482
669	975	480
670	976	478
671	977	477
672	978	475
673	979	473
674	980	472
675	981	470
676	982	468
677	983	467
678	984	465
679	985	463
680	986	462
681	988	460
682	989	459
683	990	457
684	991	455
685	992	454
686	993	452
687	994	451
688	995	449
689	996	447
690	997	446
691	999	444
692	1000	443
693	1001	441
694	1002	439
695	1003	438
696	1004	436
697	1005	435
698	1006	433
699	1007	431
700	1008	430
701	1009	428
702	1010	426
703	1011	425
704	1012	423
705	1013	422
706	1014	420
707	1015	418
708	1016	417
709	1017	415
710	1018	414
711	1019	412
712	1020	410
713	1021	409
714	1022	407
715	1023	406
716	1024	404
717	1025	402
718	1027	401
719	1028	399
720	1029	398
721	1029	396
722	1031	395
723	1032	393
724	1033	392
725	1034	390
726	1035	388
727	1036	387
728	1037	385
729	1038	384
730	1039	382
731	1040	381
732	1041	379
733	1042	377
734	1043	376
735	1044	374
736	1045	373
737	1047	371
738	1048	370
739	1049	368
740	1050	367
741	1051	365
742	1052	363
743	1053	362
744	1054	360
745	1055	359
746	1056	357
747	1057	356
748	1058	354
749	1059	353
750	1060	351
751	1061	350
752	1062	348
753	1063	347
754	1064	345
